,airline,lethality_period,lethality_value,fatalities_period,fatalities_value,incident_period,incident_value,fatal_accident_period,fatal_accident_value
0,Aeroflot*,lethality_85_99,0.18421052631578946,fatalities_85_99,106.87397385434102,incidents_85_99,76,fatal_accidents_85_99,14
1,Aeroflot*,lethality_85_99,0.18421052631578946,fatalities_85_99,106.87397385434102,incidents_85_99,76,fatal_accidents_00_14,1
2,Aeroflot*,lethality_85_99,0.18421052631578946,fatalities_85_99,106.87397385434102,incidents_00_14,6,fatal_accidents_85_99,14
3,Aeroflot*,lethality_85_99,0.18421052631578946,fatalities_85_99,106.87397385434102,incidents_00_14,6,fatal_accidents_00_14,1
4,Aeroflot*,lethality_85_99,0.18421052631578946,fatalities_00_14,73.47585702485945,incidents_85_99,76,fatal_accidents_85_99,14
5,Aeroflot*,lethality_85_99,0.18421052631578946,fatalities_00_14,73.47585702485945,incidents_85_99,76,fatal_accidents_00_14,1
6,Aeroflot*,lethality_85_99,0.18421052631578946,fatalities_00_14,73.47585702485945,incidents_00_14,6,fatal_accidents_85_99,14
7,Aeroflot*,lethality_85_99,0.18421052631578946,fatalities_00_14,73.47585702485945,incidents_00_14,6,fatal_accidents_00_14,1
8,Aeroflot*,lethality_00_14,0.16666666666666666,fatalities_85_99,106.87397385434102,incidents_85_99,76,fatal_accidents_85_99,14
9,Aeroflot*,lethality_00_14,0.16666666666666666,fatalities_85_99,106.87397385434102,incidents_85_99,76,fatal_accidents_00_14,1
10,Aeroflot*,lethality_00_14,0.16666666666666666,fatalities_85_99,106.87397385434102,incidents_00_14,6,fatal_accidents_85_99,14
11,Aeroflot*,lethality_00_14,0.16666666666666666,fatalities_85_99,106.87397385434102,incidents_00_14,6,fatal_accidents_00_14,1
12,Aeroflot*,lethality_00_14,0.16666666666666666,fatalities_00_14,73.47585702485945,incidents_85_99,76,fatal_accidents_85_99,14
13,Aeroflot*,lethality_00_14,0.16666666666666666,fatalities_00_14,73.47585702485945,incidents_85_99,76,fatal_accidents_00_14,1
14,Aeroflot*,lethality_00_14,0.16666666666666666,fatalities_00_14,73.47585702485945,incidents_00_14,6,fatal_accidents_85_99,14
15,Aeroflot*,lethality_00_14,0.16666666666666666,fatalities_00_14,73.47585702485945,incidents_00_14,6,fatal_accidents_00_14,1
16,Aerolineas Argentinas,lethality_85_99,0.0,fatalities_85_99,0.0,incidents_85_99,6,fatal_accidents_85_99,0
17,Aerolineas Argentinas,lethality_85_99,0.0,fatalities_85_99,0.0,incidents_85_99,6,fatal_accidents_00_14,0
18,Aerolineas Argentinas,lethality_85_99,0.0,fatalities_85_99,0.0,incidents_00_14,1,fatal_accidents_85_99,0
19,Aerolineas Argentinas,lethality_85_99,0.0,fatalities_85_99,0.0,incidents_00_14,1,fatal_accidents_00_14,0
