,airline,avail_seat_km_per_week,Incidents from 1985 to 1999,fatal_accidents_85_99,fatalities_85_99,incidents_00_14,fatal_accidents_00_14,fatalities_00_14,total_incidents,avail_seat_km_per_week_billions,total_fatalities_per_b_avail_seat_km,first_world
0,Aeroflot*,1197672318,76,14,106.87397385434102,6,1,73.47585702485945,82,1.197672318,180.34983087920045,Other
1,Aerolineas Argentinas,385803648,6,0,0.0,1,0,0.0,7,0.385803648,0.0,Other
2,Aeromexico*,596871813,3,1,107.22570341916949,5,0,0.0,8,0.596871813,107.22570341916949,Other
3,Air Canada,1865253802,2,0,0.0,2,0,0.0,4,1.865253802,0.0,First World
4,Air France,3004002661,14,4,26.29824567921713,6,2,112.18365561893889,20,3.004002661,138.481901298156,First World
5,Air India*,869253552,2,1,378.4856550117382,4,1,181.7651473916554,6,0.869253552,560.2508024033935,Other
6,Air New Zealand*,710174817,3,0,0.0,5,1,9.856727994904388,8,0.710174817,9.856727994904388,First World
7,Alaska Airlines*,965346773,5,0,0.0,5,1,91.1589518515954,10,0.965346773,91.1589518515954,First World
8,Alitalia,698012498,7,2,71.63195522037773,4,0,0.0,11,0.698012498,71.63195522037773,First World
9,All Nippon Airways,1841234177,3,1,0.5431139680610002,7,0,0.0,10,1.841234177,0.5431139680610002,First World
10,American*,5228357340,21,5,19.31773087261859,17,3,79.56609943573598,38,5.22835734,98.88383030835456,First World
11,Austrian Airlines,358239823,1,0,0.0,1,0,0.0,2,0.358239823,0.0,First World
12,British Airways*,3179760952,4,0,0.0,6,0,0.0,10,3.179760952,0.0,First World
13,China Airlines,813216487,12,6,657.8813988064164,2,1,276.6790929559695,14,0.813216487,934.5604917623859,Other
14,Delta / Northwest*,6525658894,24,12,62.36918089209583,24,2,7.815302765348617,48,6.525658894,70.18448365744445,First World
15,Egyptair,557699891,8,3,505.648296782615,4,1,25.103106932470247,12,0.557699891,530.7514037150852,Other
16,El Al,335448023,1,1,11.9243510938802,1,0,0.0,2,0.335448023,11.9243510938802,First World
17,Ethiopian Airlines,488560643,25,5,341.8204114325271,5,2,188.3082506095359,30,0.488560643,530.1286620420631,Other
18,Garuda Indonesia,613356665,10,3,423.8969181169655,4,2,35.86820076374323,14,0.613356665,459.7651188807087,Other
19,Gulf Air,301379762,1,0,0.0,3,1,474.4844147829674,4,0.301379762,474.4844147829674,Other
20,Iberia,1173203126,4,1,126.15036281449527,5,0,0.0,9,1.173203126,126.15036281449527,First World
21,Kenya Airways,277414794,2,0,0.0,2,2,1020.1330502943545,4,0.277414794,1020.1330502943545,Other
22,KLM*,1874561773,7,1,1.6003740411279581,1,0,0.0,8,1.874561773,1.6003740411279581,First World
23,Korean Air,1734522605,12,5,245.02419211769222,1,0,0.0,13,1.734522605,245.02419211769222,First World
24,Lufthansa*,3426529504,6,1,0.5836809511388349,3,0,0.0,9,3.426529504,0.5836809511388349,First World
25,Malaysia Airlines,1039171244,3,1,32.71838034040133,3,2,516.7579483175152,6,1.039171244,549.4763286579166,Other
26,Pakistan International,348563137,8,3,671.3274444738544,10,2,131.9703523324671,18,0.348563137,803.2977968063215,Other
27,Philippine Airlines,413007158,7,4,179.17365006056386,2,1,2.421265541358971,9,0.413007158,181.59491560192282,Other
28,Qantas*,1917428984,1,0,0.0,5,0,0.0,6,1.917428984,0.0,First World
29,Royal Air Maroc,295705339,5,3,172.4689860942957,3,0,0.0,8,0.295705339,172.4689860942957,Other
30,SAS*,682971852,5,0,0.0,6,1,161.06081045342992,11,0.682971852,161.06081045342992,First World
31,Saudi Arabian,859673901,7,2,364.091546382772,11,0,0.0,18,0.859673901,364.091546382772,Other
32,Singapore Airlines,2376857805,2,2,2.5243411647841505,2,1,34.92005277951408,4,2.376857805,37.44439394429823,First World
33,South African,651502442,2,1,244.05127248932095,1,0,0.0,3,0.651502442,244.05127248932095,Other
34,Southwest Airlines,3276525770,1,0,0.0,8,0,0.0,9,3.27652577,0.0,First World
35,Sri Lankan / AirLanka,325582976,2,1,42.99979124215634,4,0,0.0,6,0.325582976,42.99979124215634,Other
36,SWISS*,792601299,2,1,288.9220599170378,3,0,0.0,5,0.792601299,288.9220599170378,First World
37,TACA,259373346,3,1,11.566338817250713,1,1,11.566338817250713,4,0.259373346,23.132677634501427,Other
38,TAM,1509195646,8,3,64.93525227146064,7,2,124.56966762280203,15,1.509195646,189.50491989426268,Other
39,Thai Airways,1702802250,8,4,180.8783139674616,2,1,0.5872672531411091,10,1.70280225,181.4655812206027,Other
40,Turkish Airlines,1946098294,8,3,32.88631422026209,8,2,43.163287414094,16,1.946098294,76.0496016343561,First World
41,United / Continental*,7139291291,19,8,44.68230626787014,14,2,15.267621890902335,33,7.139291291,59.94992815877247,First World
42,US Airways / America West*,2455687887,16,7,91.2168037256764,11,2,9.366011096832844,27,2.455687887,100.58281482250925,First World
43,Vietnam Airlines,625084918,7,3,273.5628313463804,1,0,0.0,8,0.625084918,273.5628313463804,Other
44,Xiamen Airlines,430462962,9,1,190.49257947539746,2,0,0.0,11,0.430462962,190.49257947539746,Other
